pool,reads,bases,mean_length,median_length,min_length,max_length,gc_percent
260529-BC-NAS-P2,539772,1940500029,3595.04,3499.0,137,13334,40.98
260608-Copl-NAS-P1,181437,551163435,3037.77,2956.0,147,13243,39.8
260527-Copl-NAS-P1,106270,354161042,3332.65,3222.0,149,13657,41.08
260610-MBTA_Da-NAS-P1,79005,225628365,2855.87,2726.0,153,9658,40.49
260526-MBTA_Da-NAS-P1,76508,250070881,3268.56,3127.0,101,11847,42.41
260611-BC-NAS-P2,71526,245944426,3438.53,3392.0,157,12274,39.5
260530-NoS-NAS-P2,32147,116240395,3615.9,3589.0,117,11209,39.88
260609-Cent-NAS-P2,27953,84977171,3040.0,2806.0,155,10879,37.98
260611-BC-NAS-P3,24103,76546020,3175.79,3073.0,90,10984,39.65
260613-MBTA_Ha-NAS-P1,23830,76468975,3208.94,3145.0,104,11237,40.93
260605-BC-NAS-P3,10383,32884341,3167.13,3034.0,107,14371,39.63
260609-Cent-NAS-P1,9676,30347264,3136.34,3025.0,250,8760,40.39
260602-Sea_P-NAS-P1,3929,13768652,3504.37,3369.0,94,7842,38.88
