read,pool,length,PC1,PC2,cluster
0000871d-eb76-409b-b75c-325469af7c69,260526-MBTA_Da-NAS-P1,1643,0.008005719399611968,-0.00832430444187375,1
0000f9d3-8a1c-492d-b898-7bf879352281,260526-MBTA_Da-NAS-P1,2998,-0.01254172925323927,0.0013619576781856674,3
0003b04f-e460-442d-806a-54602b92300e,260526-MBTA_Da-NAS-P1,2522,0.00022142145320653943,-0.005992636329181017,1
0003fe7b-a942-4a89-8dee-9768f7a4a6e8,260526-MBTA_Da-NAS-P1,1827,0.001905739673825478,0.017522016265474272,0
00042620-6063-4d3f-b39b-d7d54ca7ad1c,260526-MBTA_Da-NAS-P1,4256,-0.004095354598342426,0.003908176778296992,4
00046a74-80a0-450e-9069-6e98960cb131,260526-MBTA_Da-NAS-P1,3539,0.009662961430936876,-0.005007788017148851,2
00047e6a-69fc-49de-b8b2-5c738e859f50,260526-MBTA_Da-NAS-P1,4045,0.003910112901270451,0.01478303804762981,0
00070abb-132b-410e-85a3-f7df1117de49,260526-MBTA_Da-NAS-P1,768,0.00017921557309887298,0.016679329059107514,0
00071527-6c5a-4158-b9d5-dd3e10557f6c,260526-MBTA_Da-NAS-P1,2354,-9.47123434422983e-05,0.014956055187699204,0
00078349-5b85-4c56-9b8d-197ba84a45e9,260526-MBTA_Da-NAS-P1,2172,0.0022720570425359956,-0.0076761365924874515,1
00078e8a-a946-485e-beb0-005492ab9c52,260526-MBTA_Da-NAS-P1,3007,0.008566789076727884,-0.0068415664628657825,2
000a8180-c6d6-4c5d-aa38-3398e8d7db3a,260526-MBTA_Da-NAS-P1,1974,0.011337495595438661,-0.00806455287163536,2
000bbb01-1691-4b8f-a80f-0eff6bd0bdec,260526-MBTA_Da-NAS-P1,4966,0.00393912289789272,-0.00455046794983604,2
000bbe73-f51d-4868-9826-2487590167ee,260526-MBTA_Da-NAS-P1,4607,0.001772630121908124,-0.004323393202562035,1
000effd2-aaf6-4eaf-98bc-b06d4f398ed0,260526-MBTA_Da-NAS-P1,1104,0.005106743161438724,0.01221032350523975,0
000f2e9d-da08-48c4-91f1-f19f1c46c416,260526-MBTA_Da-NAS-P1,4426,-0.00041534688866450096,-0.003970710238204231,1
000fba99-2378-4b52-922c-bd4af39d6cd2,260526-MBTA_Da-NAS-P1,2584,-0.0038844514014814953,-0.005965423472638023,1
00107208-e87e-4884-98ac-d8ded85e1a4e,260526-MBTA_Da-NAS-P1,4632,-0.0035098190097507206,-0.0030169953714390264,1
00128157-2593-4c5b-bfe1-5b302326b2b5,260526-MBTA_Da-NAS-P1,3433,0.009819248310797755,-0.004694380761009843,2
0012ba80-9a1f-4e1f-9b3e-ecd5c8f8457e,260526-MBTA_Da-NAS-P1,943,-0.01206364745072511,-0.0069512696754883765,3
0012c18f-a2ee-4477-bcfe-d409fde77029,260526-MBTA_Da-NAS-P1,3674,-0.004556726445107389,0.0029207213398018622,4
00133499-0559-4036-81e5-e6882abe29b4,260526-MBTA_Da-NAS-P1,2702,-0.0075160682414180694,0.0034945422465804572,4
00158567-fd6a-4c89-9a53-b6ed3e93feaa,260526-MBTA_Da-NAS-P1,3519,-0.003598017451612763,0.004672365982220757,4
0017036d-cd88-49f0-9a76-ffdda8bfe113,260526-MBTA_Da-NAS-P1,4726,0.007161166171265266,-0.0032956426513595185,2
001831ca-4398-45a7-bf6b-868bee07ff33,260526-MBTA_Da-NAS-P1,1724,0.0032369148015909018,-0.007203883437544132,1
